customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-06-02,active,4650
CUST0002,customer2@example.com,Customer 2,2024-11-09,active,1879
CUST0003,customer3@example.com,Customer 3,2024-07-12,active,2143
CUST0004,customer4@example.com,Customer 4,2024-10-16,active,4661
CUST0005,customer5@example.com,Customer 5,2024-04-14,active,2969
CUST0006,customer6@example.com,Customer 6,2024-07-27,active,3596
CUST0007,customer7@example.com,Customer 7,2024-04-08,active,2667
CUST0008,customer8@example.com,Customer 8,2024-09-04,active,3955
CUST0009,customer9@example.com,Customer 9,2024-07-24,active,2543
CUST0010,customer10@example.com,Customer 10,2024-03-13,active,4001
CUST0011,customer11@example.com,Customer 11,2024-04-25,active,1655
CUST0012,customer12@example.com,Customer 12,2024-04-09,active,294
CUST0013,customer13@example.com,Customer 13,2024-04-22,active,3354
CUST0014,customer14@example.com,Customer 14,2024-12-14,inactive,1408
CUST0015,customer15@example.com,Customer 15,2024-03-17,active,720
CUST0016,customer16@example.com,Customer 16,2024-06-01,active,1684
CUST0017,customer17@example.com,Customer 17,2024-08-10,active,159
CUST0018,customer18@example.com,Customer 18,2024-02-25,active,1529
CUST0019,customer19@example.com,Customer 19,2024-04-10,active,3691
CUST0020,customer20@example.com,Customer 20,2024-09-12,active,740
CUST0021,customer21@example.com,Customer 21,2024-01-07,active,1073
CUST0022,customer22@example.com,Customer 22,2024-05-13,active,2817
CUST0023,customer23@example.com,Customer 23,2024-05-10,active,3492
CUST0024,customer24@example.com,Customer 24,2024-12-24,active,454
CUST0025,customer25@example.com,Customer 25,2024-03-19,active,3578
CUST0026,customer26@example.com,Customer 26,2024-12-08,inactive,2714
CUST0027,customer27@example.com,Customer 27,2024-01-02,active,4218
CUST0028,customer28@example.com,Customer 28,2024-02-28,active,1299
CUST0029,customer29@example.com,Customer 29,2024-04-04,active,415
CUST0030,customer30@example.com,Customer 30,2024-04-24,inactive,3311
CUST0031,customer31@example.com,Customer 31,2024-01-16,active,3926
CUST0032,customer32@example.com,Customer 32,2024-12-17,active,3691
CUST0033,customer33@example.com,Customer 33,2024-06-03,active,2417
CUST0034,customer34@example.com,Customer 34,2024-02-12,active,3661
CUST0035,customer35@example.com,Customer 35,2024-04-03,active,730
CUST0036,customer36@example.com,Customer 36,2024-01-22,active,3804
CUST0037,customer37@example.com,Customer 37,2024-12-23,active,757
CUST0038,customer38@example.com,Customer 38,2024-03-08,active,4080
CUST0039,customer39@example.com,Customer 39,2024-01-22,active,2962
CUST0040,customer40@example.com,Customer 40,2024-03-26,active,1200
CUST0041,customer41@example.com,Customer 41,2024-05-17,active,3106
CUST0042,customer42@example.com,Customer 42,2024-02-04,inactive,718
CUST0043,customer43@example.com,Customer 43,2024-02-27,active,2723
CUST0044,customer44@example.com,Customer 44,2024-11-12,active,519
CUST0045,customer45@example.com,Customer 45,2024-05-08,active,1008
CUST0046,customer46@example.com,Customer 46,2024-03-14,active,2701
CUST0047,customer47@example.com,Customer 47,2024-03-04,active,4540
CUST0048,customer48@example.com,Customer 48,2024-03-13,active,3443
CUST0049,customer49@example.com,Customer 49,2024-06-23,active,2186
CUST0050,customer50@example.com,Customer 50,2024-11-14,active,1139
