order_id,customer_id,order_date,total_amount,status,shipping_address
ORD00001,CUST0044,2024-10-06,918.76,delivered,288 Main St
ORD00002,CUST0004,2024-09-08,445.51,cancelled,241 Main St
ORD00003,CUST0026,2024-04-04,286.73,delivered,189 Main St
ORD00004,CUST0012,2024-07-08,420.87,cancelled,536 Main St
ORD00005,CUST0015,2024-09-25,597.15,shipped,487 Main St
ORD00006,CUST0041,2024-07-12,988.68,shipped,510 Main St
ORD00007,CUST0021,2024-03-18,425.19,shipped,63 Main St
ORD00008,CUST0016,2024-04-16,732.28,cancelled,745 Main St
ORD00009,CUST0032,2024-08-22,416.28,shipped,211 Main St
ORD00010,CUST0010,2024-08-05,14.95,pending,100 Main St
ORD00011,CUST0014,2024-03-01,585.53,shipped,539 Main St
ORD00012,CUST0032,2024-08-27,146.47,shipped,857 Main St
ORD00013,CUST0023,2024-05-05,852.33,pending,174 Main St
ORD00014,CUST0010,2024-02-02,94.89,pending,577 Main St
ORD00015,CUST0048,2024-01-25,227.67,cancelled,550 Main St
ORD00016,CUST0023,2024-10-26,877.68,pending,76 Main St
ORD00017,CUST0025,2024-12-02,108.98,delivered,61 Main St
ORD00018,CUST0036,2024-12-17,585.02,delivered,126 Main St
ORD00019,CUST0024,2024-12-07,858.19,delivered,133 Main St
ORD00020,CUST0035,2024-04-07,947.58,cancelled,120 Main St
ORD00021,CUST0030,2024-05-25,634.86,pending,834 Main St
ORD00022,CUST0009,2024-07-09,889.16,shipped,934 Main St
ORD00023,CUST0006,2024-12-04,81.8,cancelled,89 Main St
ORD00024,CUST0042,2024-04-27,870.01,cancelled,682 Main St
ORD00025,CUST0032,2024-04-12,50.91,delivered,717 Main St
ORD00026,CUST0020,2024-05-21,901.22,shipped,571 Main St
ORD00027,CUST0031,2024-03-18,743.99,delivered,81 Main St
ORD00028,CUST0050,2024-11-14,624.12,shipped,222 Main St
ORD00029,CUST0026,2024-01-17,74.93,pending,109 Main St
ORD00030,CUST0021,2024-11-27,30.1,delivered,509 Main St
ORD00031,CUST0020,2024-06-23,635.81,pending,49 Main St
ORD00032,CUST0039,2024-10-09,180.04,shipped,525 Main St
ORD00033,CUST0008,2024-09-03,181.91,cancelled,776 Main St
ORD00034,CUST0015,2024-06-16,501.31,pending,357 Main St
ORD00035,CUST0007,2024-10-25,108.75,pending,993 Main St
ORD00036,CUST0023,2024-10-12,440.68,pending,875 Main St
ORD00037,CUST0001,2024-04-15,758.38,delivered,288 Main St
ORD00038,CUST0046,2024-04-05,952.99,cancelled,114 Main St
ORD00039,CUST0009,2024-12-01,896.14,shipped,570 Main St
ORD00040,CUST0023,2024-03-13,764.78,cancelled,90 Main St
ORD00041,CUST0049,2024-02-15,254.63,pending,309 Main St
ORD00042,CUST0038,2024-09-01,210.7,shipped,273 Main St
ORD00043,CUST0046,2024-09-27,690.6,shipped,553 Main St
ORD00044,CUST0047,2024-12-06,374.43,shipped,61 Main St
ORD00045,CUST0046,2024-05-05,746.45,cancelled,736 Main St
ORD00046,CUST0049,2024-10-15,810.24,cancelled,246 Main St
ORD00047,CUST0028,2024-11-10,591.15,pending,438 Main St
ORD00048,CUST0015,2024-12-27,572.32,delivered,114 Main St
ORD00049,CUST0005,2024-08-07,558.08,pending,694 Main St
ORD00050,CUST0047,2024-05-16,278.55,cancelled,758 Main St
ORD00051,CUST0037,2024-03-06,104.91,shipped,827 Main St
ORD00052,CUST0009,2024-09-04,474.12,delivered,72 Main St
ORD00053,CUST0003,2024-09-04,231.09,delivered,851 Main St
ORD00054,CUST0012,2024-04-26,834.54,delivered,431 Main St
ORD00055,CUST0011,2024-12-13,599.11,pending,138 Main St
ORD00056,CUST0041,2024-11-15,270.9,shipped,406 Main St
ORD00057,CUST0001,2024-11-23,469.98,pending,774 Main St
ORD00058,CUST0045,2024-01-17,906.17,pending,261 Main St
ORD00059,CUST0047,2024-02-07,564.63,cancelled,124 Main St
ORD00060,CUST0042,2024-03-20,725.38,delivered,99 Main St
ORD00061,CUST0038,2024-06-21,454.91,shipped,700 Main St
ORD00062,CUST0024,2024-03-06,678.41,cancelled,309 Main St
ORD00063,CUST0013,2024-03-22,725.42,cancelled,597 Main St
ORD00064,CUST0041,2024-04-25,580.86,cancelled,283 Main St
ORD00065,CUST0011,2024-01-08,825.07,cancelled,293 Main St
ORD00066,CUST0004,2024-05-01,646.68,delivered,858 Main St
ORD00067,CUST0025,2024-04-27,870.7,cancelled,588 Main St
ORD00068,CUST0027,2024-09-10,664.13,pending,758 Main St
ORD00069,CUST0033,2024-04-09,782.95,delivered,237 Main St
ORD00070,CUST0040,2024-07-05,948.59,pending,941 Main St
ORD00071,CUST0003,2024-10-12,939.08,cancelled,664 Main St
ORD00072,CUST0020,2024-10-12,353.69,shipped,594 Main St
ORD00073,CUST0030,2024-08-09,574.52,delivered,939 Main St
ORD00074,CUST0021,2024-09-07,906.28,delivered,771 Main St
ORD00075,CUST0041,2024-09-16,639.39,delivered,676 Main St
ORD00076,CUST0007,2024-04-22,897.16,shipped,311 Main St
ORD00077,CUST0002,2024-01-21,369.36,delivered,268 Main St
ORD00078,CUST0004,2024-12-28,610.36,pending,68 Main St
ORD00079,CUST0041,2024-06-19,1001.11,delivered,703 Main St
ORD00080,CUST0024,2024-10-05,389.95,pending,900 Main St
ORD00081,CUST0031,2024-05-19,244.09,delivered,321 Main St
ORD00082,CUST0047,2024-09-27,736.76,cancelled,720 Main St
ORD00083,CUST0012,2024-06-09,346.15,delivered,71 Main St
ORD00084,CUST0039,2024-11-24,162.52,delivered,878 Main St
ORD00085,CUST0043,2024-12-14,951.05,pending,889 Main St
ORD00086,CUST0009,2024-10-19,872,shipped,50 Main St
ORD00087,CUST0024,2024-08-17,595.67,delivered,712 Main St
ORD00088,CUST0030,2024-08-03,249.5,cancelled,672 Main St
ORD00089,CUST0048,2024-11-26,227.33,delivered,610 Main St
ORD00090,CUST0010,2024-12-03,211.97,cancelled,428 Main St
ORD00091,CUST0017,2024-08-09,437.27,shipped,360 Main St
ORD00092,CUST0045,2024-11-05,341.68,pending,130 Main St
ORD00093,CUST0035,2024-02-02,966.5,delivered,660 Main St
ORD00094,CUST0050,2024-01-25,970.72,pending,766 Main St
ORD00095,CUST0012,2024-07-19,622.63,pending,987 Main St
ORD00096,CUST0035,2024-03-14,418.06,shipped,489 Main St
ORD00097,CUST0008,2024-11-10,866.75,pending,22 Main St
ORD00098,CUST0038,2024-06-07,184.03,shipped,532 Main St
ORD00099,CUST0038,2024-12-11,732.36,delivered,691 Main St
ORD00100,CUST0005,2024-08-16,411.86,delivered,195 Main St
